,PostalCode,Borough,Neighborhood
0,M1B,Scarborough,"Malvern , Rouge"
1,M1C,Scarborough,"Rouge Hill , Port Union , Highland Creek"
2,M1E,Scarborough,"Guildwood , Morningside , West Hill"
3,M1G,Scarborough,Woburn
4,M1H,Scarborough,Cedarbrae
5,M1J,Scarborough,Scarborough Village
6,M1K,Scarborough,"Kennedy Park , Ionview , East Birchmount Park"
7,M1L,Scarborough,"Golden Mile , Clairlea , Oakridge"
8,M1M,Scarborough,"Cliffside , Cliffcrest , Scarborough Village West"
9,M1N,Scarborough,"Birch Cliff , Cliffside West"
10,M1P,Scarborough,"Dorset Park , Wexford Heights , Scarborough Town Centre"
11,M1R,Scarborough,"Wexford , Maryvale"
12,M1S,Scarborough,Agincourt
13,M1T,Scarborough,"Clarks Corners , Tam O'Shanter , Sullivan"
14,M1V,Scarborough,"Milliken , Agincourt North , Steeles East , L'Amoreaux East"
15,M1W,Scarborough,"Steeles West , L'Amoreaux West"
16,M1X,Scarborough,Upper Rouge
17,M2H,North York,Hillcrest Village
18,M2J,North York,"Fairview , Henry Farm , Oriole"
19,M2K,North York,Bayview Village
20,M2L,North York,"York Mills , Silver Hills"
21,M2M,North York,"Willowdale , Newtonbrook"
22,M2N,North York,Willowdale
23,M2P,North York,York Mills West
24,M2R,North York,Willowdale
25,M3A,North York,Parkwoods
26,M3B,North York,Don Mills
27,M3C,North York,Don Mills
28,M3H,North York,"Bathurst Manor , Wilson Heights , Downsview North"
29,M3J,North York,"Northwood Park , York University"
30,M3K,North York,Downsview
31,M3L,North York,Downsview
32,M3M,North York,Downsview
33,M3N,North York,Downsview
34,M4A,North York,Victoria Village
35,M4B,East York,"Parkview Hill , Woodbine Gardens"
36,M4C,East York,Woodbine Heights
37,M4E,East Toronto,The Beaches
38,M4G,East York,Leaside
39,M4H,East York,Thorncliffe Park
40,M4J,East York,East Toronto
41,M4K,East Toronto,"The Danforth West , Riverdale"
42,M4L,East Toronto,"India Bazaar , The Beaches West"
43,M4M,East Toronto,Studio District
44,M4N,Central Toronto,Lawrence Park
45,M4P,Central Toronto,Davisville North
46,M4R,Central Toronto,North Toronto West
47,M4S,Central Toronto,Davisville
48,M4T,Central Toronto,"Moore Park , Summerhill East"
49,M4V,Central Toronto,"Summerhill West , Rathnelly , South Hill , Forest Hill SE , Deer Park"
50,M4W,Downtown Toronto,Rosedale
51,M4X,Downtown Toronto,"St. James Town , Cabbagetown"
52,M4Y,Downtown Toronto,Church and Wellesley
53,M5A,Downtown Toronto,"Regent Park , Harbourfront"
54,M5B,Downtown Toronto,"Garden District, Ryerson"
55,M5C,Downtown Toronto,St. James Town
56,M5E,Downtown Toronto,Berczy Park
57,M5G,Downtown Toronto,Central Bay Street
58,M5H,Downtown Toronto,"Richmond , Adelaide , King"
59,M5J,Downtown Toronto,"Harbourfront East , Union Station , Toronto Islands"
60,M5K,Downtown Toronto,"Toronto Dominion Centre , Design Exchange"
61,M5L,Downtown Toronto,"Commerce Court , Victoria Hotel"
62,M5M,North York,"Bedford Park , Lawrence Manor East"
63,M5N,Central Toronto,Roselawn
64,M5P,Central Toronto,Forest Hill North & West
65,M5R,Central Toronto,"The Annex , North Midtown , Yorkville"
66,M5S,Downtown Toronto,"University of Toronto , Harbord"
67,M5T,Downtown Toronto,"Kensington Market , Chinatown , Grange Park"
68,M5V,Downtown Toronto,"CN Tower , King and Spadina , Railway Lands , Harbourfront West , Bathurst Quay , South Niagara , Island airport"
69,M5W,Downtown Toronto,Stn A PO Boxes
70,M5X,Downtown Toronto,"First Canadian Place , Underground city"
71,M6A,North York,"Lawrence Manor , Lawrence Heights"
72,M6B,North York,Glencairn
73,M6C,York,Humewood-Cedarvale
74,M6E,York,Caledonia-Fairbanks
75,M6G,Downtown Toronto,Christie
76,M6H,West Toronto,"Dufferin , Dovercourt Village"
77,M6J,West Toronto,"Little Portugal , Trinity"
78,M6K,West Toronto,"Brockton , Parkdale Village , Exhibition Place"
79,M6L,North York,"North Park , Maple Leaf Park , Upwood Park"
80,M6M,York,"Del Ray , Mount Dennis , Keelsdale and Silverthorn"
81,M6N,York,"Runnymede , The Junction North"
82,M6P,West Toronto,"High Park , The Junction South"
83,M6R,West Toronto,"Parkdale , Roncesvalles"
84,M6S,West Toronto,"Runnymede , Swansea"
85,M7A,Downtown Toronto,"Queen's Park , Ontario Provincial Government"
86,M7R,Mississauga,Canada Post Gateway Processing Centre
87,M7Y,East Toronto,Business reply mail Processing CentrE
88,M8V,Etobicoke,"New Toronto , Mimico South , Humber Bay Shores"
89,M8W,Etobicoke,"Alderwood , Long Branch"
90,M8X,Etobicoke,"The Kingsway , Montgomery Road  , Old Mill North"
91,M8Y,Etobicoke,"Old Mill South , King's Mill Park , Sunnylea , Humber Bay , Mimico NE , The Queensway East , Royal York South East , Kingsway Park South East"
92,M8Z,Etobicoke,"Mimico NW , The Queensway West , South of Bloor , Kingsway Park South West , Royal York South West"
93,M9A,Etobicoke,Islington Avenue
94,M9B,Etobicoke,"West Deane Park , Princess Gardens , Martin Grove , Islington , Cloverdale"
95,M9C,Etobicoke,"Eringate , Bloordale Gardens , Old Burnhamthorpe , Markland Wood"
96,M9L,North York,Humber Summit
97,M9M,North York,"Humberlea , Emery"
98,M9N,York,Weston
99,M9P,Etobicoke,Westmount
100,M9R,Etobicoke,"Kingsview Village , St. Phillips , Martin Grove Gardens , Richview Gardens"
101,M9V,Etobicoke,"South Steeles , Silverstone , Humbergate , Jamestown , Mount Olive , Beaumond Heights , Thistletown , Albion Gardens"
102,M9W,Etobicoke,Northwest
